immatriculation;numero_de_serie;marque;modele;date_debut;date_fin
1-OHP-660;083205157491;ROVER;111;2024-09-06;2026-04-29
1-CCT-716;016330229956;SANTANA;S300;2023-06-19;2025-02-08
2-KZR-637;057866129044;RENAULT;TRAFIC;2023-03-24;2024-11-13
2-YUY-767;064836629900;ALFA ROMEO;SZ;2025-09-10;2027-05-03
1-VTR-100;031615386373;DAIHATSU;APPLAUSE;2024-01-24;2025-09-15
1-PQA-417;030993385045;MITSUBISHI;PAJERO;2023-02-08;2024-09-30
2-OEC-997;090942007149;RENAULT;B80;2025-04-26;2026-12-17
1-XXD-611;064563398027;LEXUS;NX II;2023-04-24;2024-12-14
2-ZON-365;046239579003;MERCEDES;CLASSE CLA II;2023-03-14;2024-11-03
2-UPE-013;006378009608;FIAT;MAREA;2024-09-03;2026-04-26
1-RRK-687;089017321477;TOYOTA;STARLET;2025-02-07;2026-09-30
2-OMT-164;089150000780;FIAT;500 III;2024-10-26;2026-06-18
2-HGB-274;096948506767;ALFA ROMEO;1750;2022-12-12;2024-08-03
1-ITM-789;057449074519;PEUGEOT;RIFTER;2024-11-29;2026-07-22
1-RHI-031;097636347126;MAZDA;626;2024-08-05;2026-03-28
1-WEY-727;048260392302;RENAULT;MEGANE III ESTATE;2023-06-14;2025-02-03
1-THW-884;042903842326;MG;ZR;2024-02-05;2025-09-27
2-HHA-126;016810901220;SEAT;CORDOBA;2024-06-05;2026-01-26
1-MCB-732;069734115317;VOLVO;340;2025-02-04;2026-09-27
2-PQV-885;062333686553;SKODA;OCTAVIA IV;2024-10-16;2026-06-08
1-KLC-705;024757918574;RENAULT;RODEO;2022-10-08;2024-05-30
1-FSG-930;017282773744;DAEWOO;LANOS;2024-02-01;2025-09-23
1-JWG-853;088676937810;INFINITI;QX70;2023-03-28;2024-11-17
2-ICQ-377;067218870748;PEUGEOT;ION;2022-08-27;2024-04-18
2-ULW-859;018780181060;FORD;EXPLORER;2023-04-23;2024-12-13
2-VPQ-671;089925691816;RENAULT;MESSENGER;2025-06-03;2027-01-24
